Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,SMC Section,RHB Section,Height (m),"Height
(ft)",Map 1:50k,Map 1:25k,Grid Ref,GridRefXY,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,Comments
298,518,"http://www.streetmap.co.uk/map?X=298899&Y=798943&SV=298899,798943&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 98899 98943,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=518,Ben Macdui [Beinn Macduibh],8,08A,1309,4295,36 43,OL57S 403S,NN988989,NN 98899 98943,298899,798943,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891-1953: Ben Macdhui
299,520,"http://www.streetmap.co.uk/map?X=299125&Y=799565&SV=299125,799565&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 99125 99565,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=520,Ben Macdui North Top,8,08A,1295,4249,36 43,OL57S 403S,NN991995,NN 99125 99565,299125,799565,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,,,1891-1953: Ben Macdhui North Top
300,546,"http://www.streetmap.co.uk/map?X=300311&Y=800908&SV=300311,800908&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 00311 00908,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=546,Ben Macdui - Carn Etchachan,8,08A,1120,3675,36,OL57S 403S,NJ003009,NJ 00311 00908,300311,800908,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,"1891: Top of cliffs above Loch Avon. Incorrectly given as 1½  miles NNE of Ben Macdui, corrected in 1921"
301,524,"http://www.streetmap.co.uk/map?X=299799&Y=798467&SV=299799,798467&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 99799 98467,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=524,Ben Macdui - Stob Coire Sputan Dearg,8,08A,1249,4098,36 43,OL57S 403S,NN997984,NN 99799 98467,299799,798467,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,1891: Top of Coire an Sput Dheirg
302,552,"http://www.streetmap.co.uk/map?X=299993&Y=797795&SV=299993,797795&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 99993 97795,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=552,Ben Macdui - Sron Riach,8,08A,1113,3652,36 43,OL57S 403S,NN999977,NN 99993 97795,299993,797795,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
303,525,"http://www.streetmap.co.uk/map?X=300516&Y=804065&SV=300516,804065&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 00516 04065,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=525,Cairn Gorm,8,08A,1244.8,4084,36,OL57S 403S,NJ005040,NJ 00516 04065,300516,804065,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
304,527,"http://www.streetmap.co.uk/map?X=298510&Y=802556&SV=298510,802556&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 98510 02556,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=527,Cairn Gorm - Cairn Lochan,8,08A,1216,3990,36,OL57S 403S,NH985025,NH 98510 02556,298510,802556,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Top of Coire an Lochain
305,556,"http://www.streetmap.co.uk/map?X=298852&Y=803299&SV=298852,803299&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 98852 03299,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=556,Cairn Gorm - Fiacaill Coire an t-Sneachda,8,08A,1122,3681,36,OL57S 403S,NH988032,NH 98852 03299,298852,803299,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,
306,534,"http://www.streetmap.co.uk/map?X=299625&Y=802985&SV=299625,802985&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 99625 02985,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=534,Cairn Gorm - Stob Coire an t-Sneachda,8,08A,1176,3858,36,OL57S 403S,NH996029,NH 99625 02985,299625,802985,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Top of Coire an t-Sneachda
307,542,"http://www.streetmap.co.uk/map?X=299894&Y=803991&SV=299894,803991&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 99894 03991,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=542,Cairn Gorm - Fiacaill a' Choire Chais,8,08A,1141,3743,36,OL57S 403S,NH998039,NH 99894 03991,299894,803991,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,
308,540,"http://www.streetmap.co.uk/map?X=301350&Y=804908&SV=301350,804908&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 01350 04908,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=540,Cairn Gorm - Cnap Coire na Spreidhe,8,08A,1150,3773,36,OL57S 403S,NJ013049,NJ 01350 04908,301350,804908,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
309,568,"http://www.streetmap.co.uk/map?X=301637&Y=806120&SV=301637,806120&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 01637 06120,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=568,Cairn Gorm - Sron a' Cha-no,8,08A,1028,3373,36,OL57S 403S,NJ016061,NJ 01637 06120,301637,806120,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,"1891: Sron a' Chano; 1921: 3388' ap. Mr R. Burn, ?m S by E of 3317' spot and ?m N of 3367' spot on 6"" map; 1974: NJ 016166 in error, height from 1971 1:10k map is at NJ 016010."
310,564,"http://www.streetmap.co.uk/map?X=296838&Y=803340&SV=296838,803340&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 96838 03340,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=564,Cairn Gorm - Creag an Leth-choin [Lurcher's Crag],8,08A,1053,3455,36,OL57S 403S,NH968033,NH 96838 03340,296838,803340,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,"1891: Creag na Leacainn, South Top"
311,569,"http://www.streetmap.co.uk/map?X=296875&Y=803965&SV=296875,803965&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 96875 03965,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=569,Cairn Gorm - Creag an Leth-choin North Top,8,08A,1026,3366,36,OL57S 403S,NH968039,NH 96875 03965,296875,803965,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,"1891: Creag na Leacainn, North Top"
312,560,"http://www.streetmap.co.uk/map?X=297523&Y=802435&SV=297523,802435&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 97523 02435,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=560,Cairn Gorm - Fiacaill na Leth-choin,8,08A,1083,3553,36,OL57S 403S,NH975024,NH 97523 02435,297523,802435,,TOP,TOP,TOP,TOP,TOP,,,,,,see named worksheet
313,557,"http://www.streetmap.co.uk/map?X=304190&Y=806373&SV=304190,806373&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 04190 06373,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=557,Bynack More,8,08A,1090,3576,36,OL57N OL57S OL58N OL58S 403N 403S 404N 404S,NJ041063,NJ 04190 06373,304190,806373,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,"1891: Caiplich, Ben Bynac"
314,573,"http://www.streetmap.co.uk/map?X=303207&Y=804833&SV=303207,804833&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 03207 04833,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=573,Bynack More - A' Choinneach,8,08A,1017,3337,36,OL57S OL58S 403S 404S,NJ032048,NJ 03207 04833,303207,804833,MUN,MUN,MUN,MUN,MUN,MUN,TOP,TOP,TOP,TOP,TOP,
315,582,"http://www.streetmap.co.uk/map?X=303633&Y=806841&SV=303633,806841&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 03633 06841,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=582,Bynack More - Bynack Beg,8,08A,970,3182,36,OL57N OL57S OL58N OL58S 403N 403S 404N 404S,NJ036068,NJ 03633 06841,303633,806841,,,,,,,TOP,TOP,TOP,TOP,TOP,
316,531,"http://www.streetmap.co.uk/map?X=302460&Y=801695&SV=302460,801695&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 02460 01695,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=531,Beinn Mheadhoin,8,08A,1182.9,3881,36,OL57S 403S,NJ024016,NJ 02460 01695,302460,801695,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
317,537,"http://www.streetmap.co.uk/map?X=301850&Y=801164&SV=301850,801164&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 01850 01164,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=537,Beinn Mheadhoin SW Top,8,08A,1163,3816,36,OL57S 403S,NJ018011,NJ 01850 01164,301850,801164,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,,,1921-1969: ?m from Beinn Mheadhoin (NE Top).
318,561,"http://www.streetmap.co.uk/map?X=302476&Y=800531&SV=302476,800531&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 02476 00531,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=561,Beinn Mheadhoin - Stob Coire Etchachan,8,08A,1082,3550,36,OL57S 403S,NJ024005,NJ 02476 00531,302476,800531,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Top North of Coire Etchachan
319,574,"http://www.streetmap.co.uk/map?X=301191&Y=801528&SV=301191,801528&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 01191 01528,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=574,Beinn Mheadhoin - Stacan Dubha,8,08A,1014,3327,36,OL57S 403S,NJ011015,NJ 01191 01528,301191,801528,,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
320,539,"http://www.streetmap.co.uk/map?X=301734&Y=798032&SV=301734,798032&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 01734 98032,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=539,Derry Cairngorm,8,08A,1155,3789,36 43,OL57S 403S,NO017980,NO 01734 98032,301734,798032,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
321,554,"http://www.streetmap.co.uk/map?X=301194&Y=799619&SV=301194,799619&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 01194 99619,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=554,Derry Cairngorm - Creagan a' Choire Etchachan,8,08A,1108,3635,36 43,OL57S 403S,NO011996,NO 01194 99619,301194,799619,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1921-1974: listed as a Top of Ben Macdui
322,578,"http://www.streetmap.co.uk/map?X=302556&Y=799110&SV=302556,799110&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 02556 99110,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=578,Derry Cairngorm - Sgurr an Lochan Uaine,8,08A,983,3225,36 43,OL57S 403S,NO025991,NO 02556 99110,302556,799110,,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
323,566,"http://www.streetmap.co.uk/map?X=302020&Y=797242&SV=302020,797242&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 02020 97242,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=566,Derry Cairngorm - Little Cairngorm,8,08A,1040,3412,36 43,OL57S 403S,NO020972,NO 02020 97242,302020,797242,,TOP,TOP,TOP,TOP,TOP,,,,,,
324,587,"http://www.streetmap.co.uk/map?X=305870&Y=797075&SV=305870,797075&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 05870 97075,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=587,Beinn Bhreac,8,08B,931,3054,36 43,OL57S OL58S 403S 404S,NO058970,NO 05870 97075,305870,797075,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
325,588,"http://www.streetmap.co.uk/map?X=305284&Y=797202&SV=305284,797202&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 05284 97202,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=588,Beinn Bhreac West Top,8,08B,927,3041,36 43,OL57S OL58S 403S 404S,NO052972,NO 05284 97202,305284,797202,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
326,559,"http://www.streetmap.co.uk/map?X=304515&Y=801360&SV=304515,801360&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 04515 01360,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=559,Beinn a' Chaorainn,8,08B,1083,3553,36,OL57S OL58S 403S 404S,NJ045013,NJ 04515 01360,304515,801360,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891-1974: Beinn a' Chaorruinn
327,572,"http://www.streetmap.co.uk/map?X=305727&Y=801717&SV=305727,801717&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 05727 01717,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=572,Beinn a' Chaorainn - Beinn a' Chaorainn Bheag,8,08B,1017,3337,36,OL57S OL58S 403S 404S,NJ057017,NJ 05727 01717,305727,801717,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891-1974: Beinn a' Chaorruinn Bheag
328,536,"http://www.streetmap.co.uk/map?X=313193&Y=801845&SV=313193,801845&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 13193 01845,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=536,Leabaidh an Daimh Bhuidhe (Ben Avon),8,08B,1172,3845,36,OL58S 404S,NJ131018,NJ 13193 01845,313193,801845,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891: Ben Avon
329,563,"http://www.streetmap.co.uk/map?X=313352&Y=800239&SV=313352,800239&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 13352 00239,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=563,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stob Dubh an Eas Bhig,8,08B,1061,3481,36,OL58S 404S,NJ133002,NJ 13352 00239,313352,800239,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,
330,543,"http://www.streetmap.co.uk/map?X=312595&Y=801359&SV=312595,801359&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 12595 01359,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=543,Leabaidh an Daimh Bhuidhe (Ben Avon) - Ben Avon SW Top,8,08B,1137.6,3732,36,OL58S 404S,NJ125013,NJ 12595 01359,312595,801359,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,1891: Shoulder ½ mile SW of Ben Avon
331,562,"http://www.streetmap.co.uk/map?X=313672&Y=803332&SV=313672,803332&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 13672 03332,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=562,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stob Bac an Fhurain,8,08B,1076,3530,36,OL58S 404S,NJ136033,NJ 13672 03332,313672,803332,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,"1891: Stob Dubh, Bruach an Fhurain. Tor to NE at NJ138034 might be Munro's intended location"
332,544,"http://www.streetmap.co.uk/map?X=314327&Y=802147&SV=314327,802147&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 14327 02147,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=544,Leabaidh an Daimh Bhuidhe (Ben Avon) - Mullach Lochan nan Gabhar,8,08B,1124,3688,36,OL58S 404S,NJ143021,NJ 14327 02147,314327,802147,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,1974: Mullach Lochan nan Gobhar
333,545,"http://www.streetmap.co.uk/map?X=314733&Y=801308&SV=314733,801308&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 14733 01308,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=545,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stuc Gharbh Mhor,8,08B,1119.2,3672,36,OL58S 404S,NJ147013,NJ 14733 01308,314733,801308,,,,,,TOP,,,,,,"380m S of the 1891-1969 Top. The 6"" map shows an unheighted trig. The 1974 relocation followed the appearance of a 1120m height on the 1:10k map."
334,550,"http://www.streetmap.co.uk/map?X=314664&Y=801684&SV=314664,801684&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 14664 01684,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=550,Leabaidh an Daimh Bhuidhe (Ben Avon) - Stuc Gharbh Mhor (old GR),8,08B,1112,3648,36,OL58S 404S,NJ146016,NJ 14664 01684,314664,801684,TOP,TOP,TOP,TOP,TOP,,,,,,,"1891: 1m E of Ben Avon, on the County march ½ mile N of the name  Stùc Gharbh Mhòr on the O.S.  Corresponds to the 3625' spot on the 6"" map given up to 1969."
335,570,"http://www.streetmap.co.uk/map?X=315342&Y=803670&SV=315342,803670&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 15342 03670,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=570,Leabaidh an Daimh Bhuidhe (Ben Avon) - West Meur Gorm Craig,8,08B,1023.1,3357,36,OL58S 404S,NJ153036,NJ 15342 03670,315342,803670,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
336,584,"http://www.streetmap.co.uk/map?X=316011&Y=803290&SV=316011,803290&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 16011 03290,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=584,Leabaidh an Daimh Bhuidhe (Ben Avon) - Big Brae,8,08B,940,3084,36,OL58S 404S,NJ160032,NJ 16011 03290,316011,803290,TOP,,,,,,,,,,,Not the highest ground hereabouts; see named worksheet for justification of our location
337,586,"http://www.streetmap.co.uk/map?X=315928&Y=804207&SV=315928,804207&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 15928 04207,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=586,Leabaidh an Daimh Bhuidhe (Ben Avon) - East Meur Gorm Craig,8,08B,935.3,3069,36,OL58S 404S,NJ159042,NJ 15928 04207,315928,804207,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
338,558,"http://www.streetmap.co.uk/map?X=312265&Y=799266&SV=312265,799266&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 12265 99266,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=558,Leabaidh an Daimh Bhuidhe (Ben Avon) - Carn Eas,8,08B,1089,3573,36 43,OL58S 404S,NO122992,NO 12265 99266,312265,799266,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
339,581,"http://www.streetmap.co.uk/map?X=313185&Y=798225&SV=313185,798225&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 13185 98225,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=581,Leabaidh an Daimh Bhuidhe (Ben Avon) - Creag an Dail Mhor,8,08B,972,3189,36 43,OL58S 404S,NO131982,NO 13185 98225,313185,798225,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Creag na Dala Moire
340,529,"http://www.streetmap.co.uk/map?X=309231&Y=800621&SV=309231,800621&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 09231 00621,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=529,Beinn a' Bhuird North Top,8,08B,1197,3927,36,OL58S 404S,NJ092006,NJ 09231 00621,309231,800621,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
341,533,"http://www.streetmap.co.uk/map?X=309022&Y=797930&SV=309022,797930&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 09022 97930,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=533,Beinn a' Bhuird South Top (old GR),8,08B,1177,3862,36 43,OL58S 404S,NO090979,NO 09022 97930,309022,797930,TOP,TOP,TOP,TOP,TOP,TOP,TOP,,,,,"1891-1969: location corresponds to position of 3860' trig on 6"" map. 1974-1981: NO0090978. Cambell's variorum gives 1974: N O093986 in error"
342,532,"http://www.streetmap.co.uk/map?X=309187&Y=798610&SV=309187,798610&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 09187 98610,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=532,Beinn a' Bhuird South Top,8,08B,1179,3868,36 43,OL58S 404S,NO091986,NO 09187 98610,309187,798610,,,,,,,,TOP,TOP,TOP,TOP,1984-1997: NO093986
343,535,"http://www.streetmap.co.uk/map?X=310761&Y=801013&SV=310761,801013&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 10761 01013,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=535,Beinn a' Bhuird - Cnap a' Chleirich,8,08B,1174,3852,36,OL58S 404S,NJ107010,NJ 10761 01013,310761,801013,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
344,555,"http://www.streetmap.co.uk/map?X=311203&Y=802743&SV=311203,802743&A=Y&Z=115",http://www.geograph.org.uk/gridref/NJ 11203 02743,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=555,Beinn a' Bhuird - Stob an t-Sluichd,8,08B,1107,3632,36,OL58S 404S,NJ112027,NJ 11203 02743,311203,802743,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
345,541,"http://www.streetmap.co.uk/map?X=309780&Y=798685&SV=309780,798685&A=Y&Z=115",http://www.geograph.org.uk/gridref/NO 09780 98685,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=541,Beinn a' Bhuird - A' Chioch,8,08B,1151,3776,36 43,OL58S 404S,NO097986,NO 09780 98685,309780,798685,,TOP,TOP,TOP,TOP,TOP,,,,,,
346,624,"http://www.streetmap.co.uk/map?X=256144&Y=798768&SV=256144,798768&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 56144 98768,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=624,Geal Charn,9,09B,926,3038,35,OL55 401,NN561987,NN 56144 98768,256144,798768,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
347,621,"http://www.streetmap.co.uk/map?X=263568&Y=802398&SV=263568,802398&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 63568 02398,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=621,Carn Dearg,9,09B,945.7,3103,35,OL56 402,NH635023,NH 63568 02398,263568,802398,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,"1891: Carn Dearg, NW Top"
348,622,"http://www.streetmap.co.uk/map?X=263188&Y=803178&SV=263188,803178&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 63188 03178,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=622,Carn Dearg - Carn Ban,9,09B,942.3,3092,35,OL56 402,NH631031,NH 63188 03178,263188,803178,MUN,MUN,MUN,MUN,MUN,MUN,TOP,TOP,TOP,TOP,TOP,1891: Carn Mairg
349,625,"http://www.streetmap.co.uk/map?X=263772&Y=801763&SV=263772,801763&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 63772 01763,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=625,Carn Dearg SE Top,9,09B,923.7,3031,35,OL56 402,NH637017,NH 63772 01763,263772,801763,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
350,628,"http://www.streetmap.co.uk/map?X=262200&Y=802700&SV=262200,802700&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 62200 02700,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=628,Carn Dearg - Sneachdach Slinnean,9,09B,919,3015,35,OL56 402,NH622027,NH 62200 02700,262200,802700,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,
351,627,"http://www.streetmap.co.uk/map?X=264353&Y=804473&SV=264353,804473&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 64353 04473,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=627,Carn Dearg - Carn Ballach (SW Top),9,09B,919.8,3018,35,OL56 402,NH643044,NH 64353 04473,264353,804473,MUN,,,,,MUN,TOP,TOP,TOP,TOP,TOP,"1974: 3017' height and location from 1970 6"" map. Older 6"" maps give 3009'. Campbell's variorum gives NE Top with a comment on p.203"
352,629,"http://www.streetmap.co.uk/map?X=264779&Y=804824&SV=264779,804824&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 64779 04824,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=629,Carn Dearg - Carn Ballach (NE Top),9,09B,919.3,3016,35,OL56 402,NH647048,NH 64779 04824,264779,804824,TOP,MUN,MUN,MUN,MUN,,,,,,,"1891: 1¼m NE of Carn Mairg, 3000co; 1921-1969: 1½m NE from Carn Ban, 3020 ap. [J G Inglis: the SW Top (3009) of the original tables is now deleted, being practically indistinguishable]"
353,623,"http://www.streetmap.co.uk/map?X=268110&Y=804178&SV=268110,804178&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 68110 04178,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=623,A' Chailleach,9,09B,929.3,3049,35,OL56 402,NH681041,NH 68110 04178,268110,804178,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
354,626,"http://www.streetmap.co.uk/map?X=268302&Y=805821&SV=268302,805821&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 68302 05821,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=626,Carn Sgulain,9,09B,920.3,3019,35,OL56 402,NH683058,NH 68302 05821,268302,805821,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
355,658,"http://www.streetmap.co.uk/map?X=241839&Y=787545&SV=241839,787545&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 41839 87545,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=658,Creag Meagaidh,9,09C,1128.1,3701,34 42,OL55 401,NN418875,NN 41839 87545,241839,787545,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891-1969: Creag Meaghaidh
356,659,"http://www.streetmap.co.uk/map?X=242436&Y=787575&SV=242436,787575&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 42436 87575,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=659,Creag Meagaidh East Top,9,09C,1116.1,3662,34 42,OL55 401,NN424875,NN 42436 87575,242436,787575,TOP,,,,,,,,,,,"1891: Creag Meaghaidh, East Top"
